name,eps,gamma,alpha,beta,comm_dones,see_dones,see_intent,comm_range,phi,incomplete_penalty,popsize,num_parent,num_elite,max_iter,operator_threshold,adaptive_var_threshold,operator_step_size,start_weight,mutation_rate,crossover_function,mutation_function,max_quiescence,"score (5, 2)","score (10, 2)","score (20, 2)","score (5, 5)","score (10, 5)","score (20, 5)","totalcost (5, 2)","totalcost (10, 2)","totalcost (20, 2)","totalcost (5, 5)","totalcost (10, 5)","totalcost (20, 5)","minmax (5, 2)","minmax (10, 2)","minmax (20, 2)","minmax (5, 5)","minmax (10, 5)","minmax (20, 5)","elapsed (5, 2)","elapsed (10, 2)","elapsed (20, 2)","elapsed (5, 5)","elapsed (10, 5)","elapsed (20, 5)"
commrange_0000,0,0.999,0.2,1,True,True,True,5,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,5,287.43333333333334,363.0333333333333,712.2333333333332,290.76666666666665,362.4666666666667,642.6666666666666,483.3333333333333,651.3333333333334,1212.3333333333333,645.6666666666666,930.6666666666666,2046.6666666666667,265.6666666666667,331.0,656.6666666666666,251.33333333333334,299.3333333333333,486.6666666666667,10.164297103881836,19.896987438201904,29.756938536961872,21.198628028233845,49.978045543034874,88.70863596598308
commrange_0001,0,0.999,0.2,1,True,True,True,10,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,5,292.3666666666666,349.1666666666667,671.6333333333333,283.0,366.3666666666666,504.8666666666666,487.6666666666667,623.6666666666666,1181.3333333333333,565.0,1089.6666666666667,1724.6666666666667,270.6666666666667,318.6666666666667,615.0,251.66666666666666,286.0,369.3333333333333,9.288278102874756,18.744033416112263,30.64046899477641,27.492027362187702,44.90689102808634,76.76696197191875
commrange_0002,0,0.999,0.2,1,True,True,True,20,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,5,295.59999999999997,355.90000000000003,602.6333333333333,286.7,338.7333333333333,473.0,517.0,604.0,1073.3333333333333,590.0,972.3333333333334,1640.0,271.0,328.3333333333333,550.3333333333334,253.0,268.3333333333333,343.3333333333333,11.043486913045248,18.255993922551472,29.780654112497967,23.35606010754903,41.95025420188904,68.75766468048096
commrange_0003,0,0.999,0.2,1,True,True,True,30,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,5,290.6333333333333,334.06666666666666,567.9666666666666,278.3333333333333,321.1666666666667,431.40000000000003,476.3333333333333,541.6666666666666,999.6666666666666,548.3333333333334,829.6666666666666,1440.0,270.0,311.0,520.0,248.33333333333334,264.6666666666667,319.3333333333333,8.462153752644857,16.845006863276165,31.112332820892334,21.555481910705566,36.724468072255455,62.697980086008705
commrange_0004,0,0.999,0.2,1,True,True,True,40,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,5,288.73333333333335,317.93333333333334,556.9666666666666,282.8333333333333,313.46666666666664,421.4666666666667,484.3333333333333,563.3333333333334,1000.6666666666666,557.3333333333334,830.6666666666666,1451.6666666666667,267.0,290.6666666666667,507.6666666666667,252.33333333333334,256.0,307.0,9.277830362319946,16.015429576237995,30.945764541625977,18.325121482213337,34.130517403284706,60.28822183609009
commrange_0005,0,0.999,0.2,1,True,True,True,50,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,5,288.7,316.09999999999997,547.5,281.1666666666667,313.56666666666666,405.5999999999999,484.0,548.0,972.0,546.6666666666666,798.6666666666666,1377.0,267.0,290.3333333333333,500.3333333333333,251.66666666666666,259.6666666666667,297.6666666666667,9.410007556279501,13.006367444992065,29.975738922754925,20.08724578221639,31.909578879674275,61.5498952070872
commrange_0006,0,0.999,0.2,1,True,True,True,75,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,5,288.6333333333334,309.73333333333335,555.0,280.59999999999997,319.5,403.59999999999997,483.3333333333333,541.3333333333334,990.0,541.0,786.0,1354.0,267.0,284.0,506.6666666666667,251.66666666666666,267.6666666666667,298.0,9.06936208407084,15.548452456792196,29.58769194285075,19.52047308286031,32.52118333180746,59.602635304133095
commrange_0007,0,0.999,0.2,1,True,True,True,10000,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,5,288.6333333333334,313.3,555.2,280.96666666666664,307.93333333333334,403.59999999999997,483.3333333333333,535.0,992.0,550.6666666666666,754.3333333333334,1387.0,267.0,288.6666666666667,506.6666666666667,251.0,258.3333333333333,294.3333333333333,8.994847774505615,15.355629682540894,26.212914148966473,18.19023823738098,32.42249210675558,55.94126192728678
commrange_0008,0,0.999,0.2,1,True,True,False,5,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,5,288.4666666666667,355.8,752.1,285.96666666666664,398.0333333333333,589.4,466.6666666666667,642.0,1251.0,543.6666666666666,1286.3333333333333,1847.0,268.6666666666667,324.0,696.6666666666666,257.3333333333333,299.3333333333333,449.6666666666667,9.674548546473185,17.775757710138958,32.26757423082987,24.733480374018352,37.85859044392904,67.3909428914388
commrange_0009,0,0.999,0.2,1,True,True,False,10,0.9,3000.0,20,10,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,5,287.6666666666667,337.0333333333333,691.1333333333333,289.3666666666666,353.43333333333334,523.6,464.6666666666667,610.3333333333334,1223.3333333333333,616.6666666666666,897.3333333333334,1783.0,268.0,306.6666666666667,632.0,253.0,293.0,383.6666666666667,8.201361417770386,17.435492912928265,31.51222546895345,20.014499107996624,34.39396850268046,51.01235715548197
