name,eps,gamma,alpha,beta,comm_dones,see_dones,see_intent,comm_range,phi,incomplete_penalty,popsize,num_parent,num_elite,max_iter,operator_threshold,adaptive_var_threshold,operator_step_size,start_weight,mutation_rate,crossover_function,mutation_function,max_quiescence,"score (5, 2)","score (10, 2)","score (20, 2)","score (5, 5)","score (10, 5)","score (20, 5)","totalcost (5, 2)","totalcost (10, 2)","totalcost (20, 2)","totalcost (5, 5)","totalcost (10, 5)","totalcost (20, 5)","minmax (5, 2)","minmax (10, 2)","minmax (20, 2)","minmax (5, 5)","minmax (10, 5)","minmax (20, 5)","elapsed (5, 2)","elapsed (10, 2)","elapsed (20, 2)","elapsed (5, 5)","elapsed (10, 5)","elapsed (20, 5)"
kTest1_0000,0,0.999,0.2,1,False,False,False,10000,0.9,3000.0,20,10,2,20,0.1,0.1,0.02,0.1,0.3,MIXED,MIXED,3,308.3333333333333,332.8666666666667,803.3000000000001,297.43333333333334,414.8666666666666,888.6666666666666,521.3333333333334,580.6666666666666,1436.0,502.3333333333333,1145.6666666666667,2373.6666666666665,284.6666666666667,305.3333333333333,733.0,274.6666666666667,333.6666666666667,723.6666666666666,27.91060225168864,48.140931924184166,128.26425671577454,87.43560973803203,121.32464631398518,418.01207129160565
kTest1_0001,0,0.999,0.2,1,False,False,False,10000,0.9,3000.0,20,10,2,20,0.1,0.1,0.02,0.1,0.3,MIXED,MIXED,5,308.1000000000001,385.56666666666666,787.2666666666668,304.3333333333333,412.73333333333335,840.4333333333334,420.0,642.6666666666666,1419.6666666666667,496.3333333333333,1070.3333333333333,2116.3333333333335,295.6666666666667,357.0,717.0,283.0,339.6666666666667,698.6666666666666,26.41610074043274,772.3665223121643,134.15942899386087,71.7140097618103,174.37408566474915,271.3177447319031
kTest1_0002,0,0.999,0.2,1,False,False,False,10000,0.9,3000.0,20,10,2,20,0.1,0.1,0.02,0.1,0.3,MIXED,MIXED,8,291.26666666666665,410.5333333333333,799.4333333333334,291.59999999999997,428.13333333333327,821.9333333333334,482.6666666666667,721.3333333333334,1421.3333333333333,495.0,1050.3333333333333,2273.3333333333335,270.0,376.0,730.3333333333334,269.0,359.0,660.6666666666666,23.86025333404541,48.751879612604775,84.87633403142293,69.04105567932129,106.01357014973958,185.65960590044656
kTest1_0003,0,0.999,0.2,1,False,False,False,10000,0.9,3000.0,20,10,2,20,0.1,0.1,0.03,0.1,0.3,MIXED,MIXED,3,300.73333333333335,391.23333333333335,778.0,296.1666666666667,436.3666666666666,737.1,499.3333333333333,642.3333333333334,1396.0,525.6666666666666,952.6666666666666,1968.0,278.6666666666667,363.3333333333333,709.3333333333334,270.6666666666667,379.0,600.3333333333334,18.294640064239502,51.044014851252236,84.4185749689738,46.267739613850914,85.82831716537476,157.23289012908936
kTest1_0004,0,0.999,0.2,1,False,False,False,10000,0.9,3000.0,20,10,2,20,0.1,0.1,0.03,0.1,0.3,MIXED,MIXED,5,291.2,388.0,791.0666666666666,296.6666666666667,444.3333333333333,880.6,470.0,598.0,1295.6666666666667,500.6666666666667,1122.3333333333333,2497.0,271.3333333333333,364.6666666666667,735.0,274.0,369.0,701.0,20.851643244425457,38.87572479248047,6143.625035683314,37.994846185048424,85.49686431884766,158.14008498191833
kTest1_0005,0,0.999,0.2,1,False,False,False,10000,0.9,3000.0,20,10,2,20,0.1,0.1,0.03,0.1,0.3,MIXED,MIXED,8,292.43333333333334,413.43333333333334,799.5666666666666,304.40000000000003,426.5333333333333,884.4333333333333,467.3333333333333,603.3333333333334,1437.6666666666667,482.0,1142.3333333333333,2412.3333333333335,273.0,392.3333333333333,728.6666666666666,284.6666666666667,347.0,714.6666666666666,20.966553846995037,38.073103745778404,76.03483168284099,46.559430281321205,87.25905179977417,176.19422054290771
kTest1_0006,0,0.999,0.2,1,False,False,False,10000,0.9,3000.0,20,10,2,20,0.1,0.1,0.04,0.1,0.3,MIXED,MIXED,3,301.1333333333334,399.7333333333333,879.1333333333333,293.13333333333327,388.09999999999997,870.9333333333334,425.3333333333333,694.3333333333334,1516.3333333333333,570.3333333333334,848.0,2136.3333333333335,287.3333333333333,367.0,808.3333333333334,262.3333333333333,337.0,730.3333333333334,13.048259973526001,39.788745403289795,60.077229499816895,50.65440003077189,8527.749808152517,173.90250619252524
kTest1_0007,0,0.999,0.2,1,False,False,False,10000,0.9,3000.0,20,10,2,20,0.1,0.1,0.04,0.1,0.3,MIXED,MIXED,5,298.1666666666667,393.76666666666665,808.7333333333332,290.56666666666666,405.3666666666666,887.7999999999998,437.6666666666667,685.6666666666666,1418.3333333333333,556.6666666666666,942.6666666666666,2242.0,282.6666666666667,361.3333333333333,741.0,261.0,345.6666666666667,737.3333333333334,24.307536999384563,46.428335428237915,91.1804838180542,55.02393198013306,92.23196148872375,193.33181715011597
kTest1_0008,0,0.999,0.2,1,False,False,False,10000,0.9,3000.0,20,10,2,20,0.1,0.1,0.04,0.1,0.3,MIXED,MIXED,8,306.4666666666667,367.23333333333335,841.2333333333332,311.93333333333334,400.79999999999995,833.5333333333333,418.6666666666667,561.3333333333334,1524.3333333333333,449.3333333333333,1056.0,2197.3333333333335,294.0,345.6666666666667,765.3333333333334,296.6666666666667,328.0,682.0,25.956005414326984,46.47000018755595,93.02023545900981,50.67321483294169,103.13023384412129,193.86893820762634
kTest1_0009,0,0.999,0.2,1,False,False,False,10000,0.9,3000.0,20,10,2,20,0.1,0.1,0.05,0.1,0.3,MIXED,MIXED,3,296.3333333333333,379.0,803.0333333333333,286.6333333333333,391.1333333333334,897.8666666666667,440.3333333333333,679.0,1424.3333333333333,571.3333333333334,926.3333333333334,2183.6666666666665,280.3333333333333,345.6666666666667,734.0,255.0,331.6666666666667,755.0,15.5829705397288,57.480660835901894,77.51652367909749,48.976163148880005,106.19211896260579,168.9768170515696
