name,eps,gamma,alpha,beta,comm_dones,see_dones,see_intent,comm_range,phi,incomplete_penalty,popsize,num_parent,num_elite,max_iter,operator_threshold,adaptive_var_threshold,operator_step_size,start_weight,mutation_rate,crossover_function,mutation_function,max_quiescence,"score (5, 2)","score (10, 2)","score (20, 2)","score (5, 5)","score (10, 5)","score (20, 5)","totalcost (5, 2)","totalcost (10, 2)","totalcost (20, 2)","totalcost (5, 5)","totalcost (10, 5)","totalcost (20, 5)","minmax (5, 2)","minmax (10, 2)","minmax (20, 2)","minmax (5, 5)","minmax (10, 5)","minmax (20, 5)","elapsed (5, 2)","elapsed (10, 2)","elapsed (20, 2)","elapsed (5, 5)","elapsed (10, 5)","elapsed (20, 5)"
kTest2.1_0000,0,0.999,0.2,1,False,False,False,0,0.9,3000.0,20,10,2,20,0.1,0.1,0.02,0.1,0.3,MIXED,MIXED,3,311.23333333333335,405.8,781.8666666666667,292.8333333333333,386.5333333333333,910.9666666666666,460.3333333333333,647.0,1359.6666666666667,507.3333333333333,964.3333333333334,2593.6666666666665,294.6666666666667,379.0,717.6666666666666,269.0,322.3333333333333,724.0,20.334794600804646,54.28003525733948,139.51545683542886,77.15528090794881,151.12819274266562,287.4224606355031
kTest2.1_0001,0,0.999,0.2,1,False,False,False,0,0.9,3000.0,20,10,2,20,0.1,0.1,0.02,0.1,0.3,MIXED,MIXED,5,292.3,377.73333333333335,831.6333333333333,289.46666666666664,398.3333333333333,846.9666666666667,487.0,648.3333333333334,1470.3333333333333,512.6666666666666,818.3333333333334,2280.6666666666665,270.6666666666667,347.6666666666667,760.6666666666666,264.6666666666667,351.6666666666667,687.6666666666666,37.136160453160606,70.38260658582051,139.49435846010843,75.29727617899577,144.96145542462668,285.44772839546204
kTest2.1_0002,0,0.999,0.2,1,False,False,False,0,0.9,3000.0,20,10,2,20,0.1,0.1,0.02,0.1,0.3,MIXED,MIXED,8,291.2,369.4333333333334,806.0333333333333,290.7,445.23333333333335,830.2666666666668,491.0,628.3333333333334,1439.3333333333333,525.0,978.3333333333334,2419.6666666666665,269.0,340.6666666666667,735.6666666666666,264.6666666666667,386.0,653.6666666666666,41.35771234830221,71.66143822669983,146.84974106152853,81.59933225313823,160.55670658747354,291.8294355869293
kTest2.1_0003,0,0.999,0.2,1,False,False,False,0,0.9,3000.0,20,10,2,20,0.1,0.1,0.03,0.1,0.3,MIXED,MIXED,3,290.0333333333333,414.90000000000003,847.3333333333334,294.6333333333334,525.5333333333333,786.6333333333333,485.3333333333333,708.0,1498.3333333333333,549.3333333333334,1376.3333333333333,2085.3333333333335,268.3333333333333,382.3333333333333,775.0,266.3333333333333,431.0,642.3333333333334,11.638194878896078,53.55756743748983,35.717636028925575,26.28722635904948,115.46111170450847,113.50639446576436
kTest2.1_0004,0,0.999,0.2,1,False,False,False,0,0.9,3000.0,20,10,2,20,0.1,0.1,0.03,0.1,0.3,MIXED,MIXED,5,293.3333333333333,378.73333333333335,781.5666666666666,283.76666666666665,382.9333333333334,869.1666666666666,473.3333333333333,670.3333333333334,1392.6666666666667,560.6666666666666,922.3333333333334,2376.6666666666665,273.3333333333333,346.3333333333333,713.6666666666666,253.0,323.0,701.6666666666666,20.02503712972005,29.126638889312744,70.02071491877238,38.721588373184204,61.96241601308187,145.41621589660645
kTest2.1_0005,0,0.999,0.2,1,False,False,False,0,0.9,3000.0,20,10,2,20,0.1,0.1,0.03,0.1,0.3,MIXED,MIXED,8,299.3333333333333,361.40000000000003,776.8000000000001,288.9,420.1666666666667,910.0999999999999,422.3333333333333,578.0,1396.0,555.0,808.6666666666666,2213.0,285.6666666666667,337.3333333333333,708.0,259.3333333333333,377.0,765.3333333333334,21.082032203674316,32.81913288434347,70.59782409667969,38.1108828385671,79.83355069160461,142.166654586792
kTest2.1_0006,0,0.999,0.2,1,False,False,False,0,0.9,3000.0,20,10,2,20,0.1,0.1,0.04,0.1,0.3,MIXED,MIXED,3,297.13333333333327,362.8666666666666,800.2333333333332,292.06666666666666,412.5,921.4666666666666,499.3333333333333,574.6666666666666,1342.3333333333333,529.6666666666666,846.0,2536.6666666666665,274.6666666666667,339.3333333333333,740.0,265.6666666666667,364.3333333333333,742.0,9.303322792053223,25.092819531758625,46.77829074859619,32.46336142222086,62.81818946202596,114.11071809132893
kTest2.1_0007,0,0.999,0.2,1,False,False,False,0,0.9,3000.0,20,10,2,20,0.1,0.1,0.04,0.1,0.3,MIXED,MIXED,5,291.7,370.26666666666665,782.6666666666666,288.3666666666667,412.6333333333334,821.1999999999999,487.0,636.6666666666666,1400.6666666666667,501.6666666666667,832.3333333333334,2323.0,270.0,340.6666666666667,714.0,264.6666666666667,366.0,654.3333333333334,16.637765487035114,27.025042057037354,51.70058933893839,31.671437978744507,61.145716269811,112.80313801765442
kTest2.1_0008,0,0.999,0.2,1,False,False,False,0,0.9,3000.0,20,10,2,20,0.1,0.1,0.04,0.1,0.3,MIXED,MIXED,8,290.1666666666667,384.3,822.1999999999999,289.76666666666665,408.09999999999997,883.0666666666666,486.6666666666667,642.0,1475.0,521.6666666666666,802.0,2551.6666666666665,268.3333333333333,355.6666666666667,749.6666666666666,264.0,364.3333333333333,697.6666666666666,15.439602772394815,26.904993613560993,54.66444730758667,32.12423777580261,57.633628845214844,117.81467127799988
kTest2.1_0009,0,0.999,0.2,1,False,False,False,0,0.9,3000.0,20,10,2,20,0.1,0.1,0.05,0.1,0.3,MIXED,MIXED,3,295.5333333333333,371.8333333333333,811.7666666666668,298.8,398.90000000000003,823.0999999999999,495.3333333333333,553.3333333333334,1442.6666666666667,597.0,938.0,2369.0,273.3333333333333,351.6666666666667,741.6666666666666,265.6666666666667,339.0,651.3333333333334,8.412588596343994,25.90987753868103,44.26668985684713,26.524301687876385,57.070311864217125,117.20794304211934
