name,eps,gamma,alpha,beta,comm_dones,see_dones,see_intent,comm_range,phi,incomplete_penalty,popsize,num_parent,num_elite,max_iter,operator_threshold,adaptive_var_threshold,operator_step_size,start_weight,mutation_rate,crossover_function,mutation_function,max_quiescence,adaptive_var_iter,"score (5, 2)","score (10, 2)","score (20, 2)","score (5, 5)","score (10, 5)","score (20, 5)","totalcost (5, 2)","totalcost (10, 2)","totalcost (20, 2)","totalcost (5, 5)","totalcost (10, 5)","totalcost (20, 5)","minmax (5, 2)","minmax (10, 2)","minmax (20, 2)","minmax (5, 5)","minmax (10, 5)","minmax (20, 5)","elapsed (5, 2)","elapsed (10, 2)","elapsed (20, 2)","elapsed (5, 5)","elapsed (10, 5)","elapsed (20, 5)"
max_iter_20_0000,0,0.999,0.2,1,True,True,True,10000,0.9,3000.0,20,5,2,20,0.6,0.001,0.03,0.1,0.3,MIXED,MIXED,20,1,288.6333333333334,305.63333333333327,550.3666666666667,281.0,308.3333333333333,406.6666666666667,483.3333333333333,548.3333333333334,976.6666666666666,551.0,731.3333333333334,1360.6666666666667,267.0,278.6666666666667,503.0,251.0,261.3333333333333,300.6666666666667,20.813129663467407,33.918557246526085,62.28433012962341,39.98144761721293,71.7327648003896,133.86346538861594
max_iter_20_0001,0,0.999,0.2,1,True,True,True,10000,0.9,3000.0,20,5,2,40,0.6,0.001,0.03,0.1,0.3,MIXED,MIXED,20,1,288.6333333333334,309.59999999999997,503.23333333333335,280.59999999999997,298.0333333333333,403.6333333333334,483.3333333333333,552.0,901.3333333333334,541.0,655.3333333333334,1345.3333333333333,267.0,282.6666666666667,459.0,251.66666666666666,258.3333333333333,299.0,26.057357629140217,56.535019954045616,102.45921699206035,54.712204138437905,107.96328671773274,212.27826245625815
max_iter_20_0002,0,0.999,0.2,1,True,True,True,10000,0.9,3000.0,20,5,2,80,0.6,0.001,0.03,0.1,0.3,MIXED,MIXED,20,1,288.6666666666667,306.6666666666667,503.8666666666666,280.93333333333334,298.6666666666667,380.8666666666666,483.6666666666667,528.6666666666666,889.6666666666666,541.3333333333334,709.6666666666666,1297.6666666666667,267.0,282.0,461.0,252.0,253.0,279.0,28.547166506449383,57.38988582293192,147.23341703414917,50.61173256238302,161.39355993270874,347.8185393810272
max_iter_20_0003,0,0.999,0.2,1,True,True,True,10000,0.9,3000.0,20,5,2,160,0.6,0.001,0.03,0.1,0.3,MIXED,MIXED,20,1,288.6333333333334,309.86666666666673,493.1333333333334,280.6333333333333,301.43333333333334,386.3333333333333,483.3333333333333,521.6666666666666,890.3333333333334,541.3333333333334,686.3333333333334,1214.3333333333333,267.0,286.3333333333333,449.0,251.66666666666666,258.6666666666667,294.3333333333333,26.336074272791546,62.14046589533488,196.06571006774902,47.813841581344604,121.99789484341939,394.8565870126088
max_iter_40_0000,0,0.999,0.2,1,True,True,True,10000,0.9,3000.0,40,10,4,20,0.6,0.001,0.03,0.1,0.3,MIXED,MIXED,20,1,288.6333333333334,304.9,529.1333333333333,280.59999999999997,303.96666666666664,406.3666666666666,483.3333333333333,532.0,947.3333333333334,541.0,714.6666666666666,1357.6666666666667,267.0,279.6666666666667,482.6666666666667,251.66666666666666,258.3333333333333,300.6666666666667,69.83205699920654,100.67667031288147,188.05827204386392,125.75553425153096,219.58825381596884,385.21746977170307
max_iter_40_0001,0,0.999,0.2,1,True,True,True,10000,0.9,3000.0,40,10,4,40,0.6,0.001,0.03,0.1,0.3,MIXED,MIXED,20,1,288.6333333333334,301.6,477.6333333333334,280.59999999999997,294.59999999999997,392.2666666666666,483.3333333333333,520.0,849.3333333333334,541.0,666.0,1315.6666666666667,267.0,277.3333333333333,436.3333333333333,251.66666666666666,253.33333333333334,289.6666666666667,75.02558779716492,196.52885166803995,370.8312083085378,157.35632165273032,386.4706534544627,768.4169667561849
max_iter_40_0002,0,0.999,0.2,1,True,True,True,10000,0.9,3000.0,40,10,4,80,0.6,0.001,0.03,0.1,0.3,MIXED,MIXED,20,1,288.6333333333334,299.90000000000003,476.96666666666664,280.59999999999997,294.1666666666667,381.7333333333333,483.3333333333333,533.0,857.6666666666666,541.0,592.6666666666666,1276.3333333333333,267.0,274.0,434.6666666666667,251.66666666666666,261.0,282.3333333333333,76.61776216824849,219.90427255630493,597.6329933007559,155.16100978851318,474.22598536809284,1181.531582037608
max_iter_40_0003,0,0.999,0.2,1,True,True,True,10000,0.9,3000.0,40,10,4,160,0.6,0.001,0.03,0.1,0.3,MIXED,MIXED,20,1,288.6333333333334,303.2,455.1666666666667,280.59999999999997,297.06666666666666,380.59999999999997,483.3333333333333,521.0,804.6666666666666,541.0,669.6666666666666,1220.0,267.0,279.0,416.3333333333333,251.66666666666666,255.66666666666666,287.3333333333333,77.83488074938457,241.72158726056418,530.2707386811575,160.27774286270142,449.588383436203,1423.9203872680664
max_iter_80_0000,0,0.999,0.2,1,True,True,True,10000,0.9,3000.0,80,20,8,20,0.6,0.001,0.03,0.1,0.3,MIXED,MIXED,20,1,288.6333333333334,301.5,483.0333333333333,280.59999999999997,300.59999999999997,399.0,483.3333333333333,528.0,870.3333333333334,541.0,678.0,1326.0,267.0,276.3333333333333,440.0,251.66666666666666,258.6666666666667,296.0,140.2655133406321,186.95942131678262,366.19422125816345,260.9159607887268,414.4592289129893,777.7922194798788
max_iter_80_0001,0,0.999,0.2,1,True,True,True,10000,0.9,3000.0,80,20,8,40,0.6,0.001,0.03,0.1,0.3,MIXED,MIXED,20,1,288.6333333333334,307.7333333333333,441.73333333333335,280.59999999999997,292.96666666666664,381.0333333333333,483.3333333333333,548.3333333333334,799.3333333333334,541.0,655.6666666666666,1221.3333333333333,267.0,281.0,402.0,251.66666666666666,252.66666666666666,287.6666666666667,145.9701450665792,339.37479877471924,662.7724681695303,315.46544591585797,771.0980552037557,1438.2976474761963
max_iter_80_0002,0,0.999,0.2,1,True,True,True,10000,0.9,3000.0,80,20,8,80,0.6,0.001,0.03,0.1,0.3,MIXED,MIXED,20,1,288.6333333333334,301.7,424.5666666666666,280.59999999999997,296.1333333333333,367.79999999999995,483.3333333333333,539.0,762.6666666666666,541.0,663.3333333333334,1215.0,267.0,275.3333333333333,387.0,251.66666666666666,255.33333333333334,273.6666666666667,148.6594936052958,365.05315105120343,991.7337328592936,283.8061896165212,975.5093731085459,2312.262352705002
max_iter_80_0003,0,0.999,0.2,1,True,True,True,10000,0.9,3000.0,80,20,8,160,0.6,0.001,0.03,0.1,0.3,MIXED,MIXED,20,1,288.6333333333334,300.8666666666667,450.26666666666665,280.59999999999997,292.6333333333333,365.0,483.3333333333333,521.6666666666666,812.6666666666666,541.0,655.3333333333334,1109.0,267.0,276.3333333333333,410.0,251.66666666666666,252.33333333333334,282.3333333333333,142.6394279797872,333.02646040916443,1117.087328195572,287.4070938428243,1037.4908632437389,2112.7230377991996
max_iter_160_0000,0,0.999,0.2,1,True,True,True,10000,0.9,3000.0,160,40,16,20,0.6,0.001,0.03,0.1,0.3,MIXED,MIXED,20,1,288.6333333333334,298.06666666666666,457.63333333333327,280.59999999999997,297.8666666666666,387.0333333333333,483.3333333333333,529.6666666666666,811.3333333333334,541.0,653.6666666666666,1314.3333333333333,267.0,272.3333333333333,418.3333333333333,251.66666666666666,258.3333333333333,284.0,156.08615533510843,377.82119727134705,480.291644970576,290.5192286968231,848.3310092290243,942.1170753637949
