name,eps,gamma,alpha,beta,comm_dones,see_dones,see_intent,comm_range,phi,incomplete_penalty,popsize,num_parent,num_elite,max_iter,operator_threshold,adaptive_var_threshold,operator_step_size,start_weight,mutation_rate,crossover_function,mutation_function,max_quiescence,"score (5, 2)","score (10, 2)","score (20, 2)","score (5, 5)","score (10, 5)","score (20, 5)","totalcost (5, 2)","totalcost (10, 2)","totalcost (20, 2)","totalcost (5, 5)","totalcost (10, 5)","totalcost (20, 5)","minmax (5, 2)","minmax (10, 2)","minmax (20, 2)","minmax (5, 5)","minmax (10, 5)","minmax (20, 5)","elapsed (5, 2)","elapsed (10, 2)","elapsed (20, 2)","elapsed (5, 5)","elapsed (10, 5)","elapsed (20, 5)"
popsize_0000,0,0.999,0.2,1,False,False,False,10000,0.9,3000.0,5,5,2,5,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,3,347.23333333333335,525.4,1060.7333333333333,399.1333333333334,669.7666666666665,1307.8999999999999,580.3333333333334,790.0,1874.3333333333333,1132.3333333333333,1906.6666666666667,4307.0,321.3333333333333,496.0,970.3333333333334,317.6666666666667,532.3333333333334,974.6666666666666,0.6117047468821207,0.8989676634470621,1.7887132167816162,1.4154489835103352,2.2258994579315186,4.3860171635945635
popsize_0001,0,0.999,0.2,1,False,False,False,10000,0.9,3000.0,5,5,2,5,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,5,325.0333333333333,494.0666666666666,1061.2,391.63333333333327,715.0333333333334,1212.8666666666666,508.3333333333333,860.6666666666666,1846.0,946.3333333333334,2002.3333333333333,3266.6666666666665,304.6666666666667,453.3333333333333,974.0,330.0,572.0,984.6666666666666,0.5964791774749756,0.9475553035736084,1.822616974512736,1.2825346787770588,2.4331801732381186,4.2193656762441
popsize_0002,0,0.999,0.2,1,False,False,False,10000,0.9,3000.0,5,5,2,5,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,8,350.2,575.4,1957.8666666666668,428.6666666666667,665.4666666666667,1296.1333333333332,604.0,921.0,2688.6666666666665,1082.6666666666667,1881.6666666666667,4138.333333333333,322.0,537.0,1876.6666666666667,356.0,530.3333333333334,980.3333333333334,0.6054642995198568,0.9913632869720459,1.756253957748413,1.4831867218017578,2.3071062564849854,4.428466558456421
popsize_0003,0,0.999,0.2,1,False,False,False,10000,0.9,3000.0,5,5,2,10,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,3,310.76666666666665,500.8,1043.8666666666668,372.4666666666667,680.0,1190.8666666666666,434.6666666666667,892.0,1870.6666666666667,784.6666666666666,2180.0,3448.6666666666665,297.0,457.3333333333333,952.0,326.6666666666667,513.3333333333334,940.0,0.9218776226043701,1.8469708760579426,3.0791379610697427,2.4637877146402993,4.220810492833455,8.26505438486735
popsize_0004,0,0.999,0.2,1,False,False,False,10000,0.9,3000.0,5,5,2,10,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,5,327.26666666666665,494.43333333333334,935.6666666666666,348.9666666666667,635.4000000000001,1202.5333333333335,500.6666666666667,873.3333333333334,1637.6666666666667,759.6666666666666,1647.0,3703.3333333333335,308.0,452.3333333333333,857.6666666666666,303.3333333333333,523.0,924.6666666666666,1.1558165550231934,1.7932082811991374,3.4992730617523193,2.4773916403452554,4.629214525222778,8.582409302393595
popsize_0005,0,0.999,0.2,1,False,False,False,10000,0.9,3000.0,5,5,2,10,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,8,310.73333333333335,565.7333333333335,1098.1000000000001,331.8,622.8666666666667,1203.3666666666666,479.3333333333333,983.3333333333334,1849.0,519.0,1521.6666666666667,3756.6666666666665,292.0,519.3333333333334,1014.6666666666666,311.0,523.0,919.6666666666666,1.1348734696706135,2.1487935384114585,3.5593767166137695,2.32963490486145,4.347692171732585,8.508823871612549
popsize_0006,0,0.999,0.2,1,False,False,False,10000,0.9,3000.0,5,5,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,3,327.3333333333333,520.4666666666667,1069.6333333333332,330.93333333333334,573.8666666666667,997.2666666666668,537.3333333333334,866.6666666666666,1888.3333333333333,714.3333333333334,1619.6666666666667,2643.6666666666665,304.0,482.0,978.6666666666666,288.3333333333333,457.6666666666667,814.3333333333334,1.2046545346577961,1.9791028499603271,4.2497561772664385,3.5751245816548667,6.123795509338379,13.379475275675455
popsize_0007,0,0.999,0.2,1,False,False,False,10000,0.9,3000.0,5,5,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,5,320.0333333333333,492.90000000000003,921.7666666666668,353.2,495.7333333333333,1018.2333333333332,491.3333333333333,750.0,1528.6666666666667,664.0,1288.3333333333333,2670.3333333333335,301.0,464.3333333333333,854.3333333333334,318.6666666666667,407.6666666666667,834.6666666666666,2.101476271947225,3.552130142847697,6.895433187484741,3.9838012059529624,7.535990873972575,12.449772516886393
popsize_0008,0,0.999,0.2,1,False,False,False,10000,0.9,3000.0,5,5,2,20,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,8,328.0,471.2,934.9333333333334,297.59999999999997,580.9,980.9666666666666,484.0,674.0,1630.3333333333333,522.0,1429.0,2639.6666666666665,310.6666666666667,448.6666666666667,857.6666666666666,272.6666666666667,486.6666666666667,796.6666666666666,2.196303685506185,3.6701271533966064,6.961667378743489,3.923976500829061,8.665396372477213,14.96775738398234
popsize_0009,0,0.999,0.2,1,False,False,False,10000,0.9,3000.0,5,5,3,5,0.6,0.1,0.05,0.1,0.3,MIXED,MIXED,3,349.0666666666666,554.2333333333333,1058.8999999999999,416.3,723.6,1310.9666666666665,631.6666666666666,955.3333333333334,1721.0,1169.0,2202.0,4238.666666666667,317.6666666666667,509.6666666666667,985.3333333333334,332.6666666666667,559.3333333333334,985.6666666666666,0.7025978565216064,1.1427862644195557,1.8736035823822021,1.4482750097910564,2.680891513824463,4.669272820154826
